time,id,iq,vd,vq
2024-12-23 16:26:33,0.0,0.0,0.0,0.0
2024-12-23 16:26:33,0.0,0.0,0.0,0.0
2024-12-23 16:26:33,0.0,0.0,0.0,0.0
2024-12-23 16:26:34,0.0,0.0,0.0,0.0
2024-12-23 16:26:34,0.0,0.0,0.0,0.0
2024-12-23 16:26:34,0.0,0.0,0.0,0.0
2024-12-23 16:26:34,0.0,0.0,0.0,0.0
2024-12-23 16:26:34,0.0,0.0,0.0,0.0
2024-12-23 16:26:34,0.0,0.0,0.0,0.0
2024-12-23 16:26:34,0.0,0.0,0.0,0.0
2024-12-23 16:26:34,0.0,0.0,0.0,0.0
2024-12-23 16:26:34,0.0,0.0,0.0,0.0
2024-12-23 16:26:34,0.0,0.0,0.0,0.0
2024-12-23 16:26:35,0.0,0.0,0.0,0.0
2024-12-23 16:26:35,0.0,0.0,0.0,0.0
2024-12-23 16:26:35,0.0,0.0,0.0,0.0
2024-12-23 16:26:35,0.0,0.0,0.0,0.0
2024-12-23 16:26:35,0.0,0.0,0.0,0.0
2024-12-23 16:26:35,0.0,0.0,0.0,0.0
2024-12-23 16:26:35,0.0,0.0,0.0,0.0
2024-12-23 16:26:35,0.0,0.0,0.0,0.0
2024-12-23 16:26:35,0.0,0.0,0.0,0.0
2024-12-23 16:26:35,0.0,0.0,0.0,0.0
2024-12-23 16:26:36,0.0,0.0,0.0,0.0
2024-12-23 16:26:36,0.0,0.0,0.0,0.0
2024-12-23 16:26:36,0.0,0.0,0.0,0.0
2024-12-23 16:26:36,0.0,0.0,0.0,0.0
2024-12-23 16:26:36,0.7855464,-7.6192513,-2.8711815,0.8697775
2024-12-23 16:26:36,0.24903104,1.1279641,-2.1222572,19.354837
2024-12-23 16:26:37,0.2764977,1.0913419,-5.083163,23.057344
2024-12-23 16:26:37,0.38636434,1.4300975,-4.1016874,20.222784
2024-12-23 16:26:37,0.29847103,1.0547197,-3.2190924,22.216864
2024-12-23 16:26:37,0.22705771,1.1059908,-1.9830928,22.315744
2024-12-23 16:26:37,0.30213323,1.4648885,-2.4958038,19.843746
2024-12-23 16:26:38,0.85329753,0.79103976,-5.308389,22.187567
2024-12-23 16:26:38,0.24353771,1.4612262,-1.8677328,21.059603
2024-12-23 16:26:38,0.5896176,0.6225776,-3.195288,21.035799
2024-12-23 16:26:38,1.325724,0.4669332,-5.795465,23.033539
2024-12-23 16:26:38,0.13550219,0.7489242,-3.409528,21.850643
