torque,speed,time
-0.010000,0.000000,2024-12-23 16:26:23
-0.020000,0.000000,2024-12-23 16:26:23
-0.020000,0.000000,2024-12-23 16:26:23
-0.020000,0.000000,2024-12-23 16:26:23
-0.020000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.020000,0.000000,2024-12-23 16:26:23
-0.020000,0.000000,2024-12-23 16:26:23
-0.020000,0.000000,2024-12-23 16:26:23
-0.020000,0.000000,2024-12-23 16:26:23
-0.020000,0.000000,2024-12-23 16:26:23
-0.020000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
-0.010000,0.000000,2024-12-23 16:26:23
